KEY,ENGLISH,NAHNYA,ROMANIZATION,TRANSLATION_COMMENTS
ACCESSIBILITY,ACCESSIBILITY,,,
ACCOLADES,ACCOLADES,NWNENHFEG,NWNENAHVENG,stamp.pl
ACOLLABBETWEEN,A COLLAB BETWEEN,,,
AGAMEMADEBY,A GAME MADE BY,,,
AGUIDEBY,A Guide by<br>Scoutmaster Myres,,,
AIM,AIM,,,
ALPINE,ALPINE,,,
AMBIENT OCCLUSION,AMBIENT OCCLUSION,,,
ANCIENT LUGGAGE,ANCIENT LUGGAGE,,,
ANCIENT STATUE,ANCIENT STATUE,,,
ANDALLOTHER,And all previous modifiers.,,,
ANTI-ROPE,ANTI-ROPE,,,
ASCENT 1,ASCENT 1,,,
ASCENT 2,ASCENT 2,,,
ASCENT 3,ASCENT 3,,,
ASCENT 4,ASCENT 4,,,
ASCENT 5,ASCENT 5,,,
ASCENT 6,ASCENT 6,,,
ASCENT 7,ASCENT 7,,,
ASCENTSUNLOCKED,ASCENTS UNLOCKED,,,
ASCENTSUNLOCKEDTEXT,Ready for a greater challenge? Ascents add modifiers that make summiting the PEAK more difficult.<br><br>Set your Ascent Level at the Airport Kiosk!,,,
ASK,ask,PYEI,pyei,ask
AUDIO,AUDIO,NWKYHK,NWGYAHK,"audio (TODO: the site writes the nahnya as NWKYHG, is that actually correct?)"
AUTHENTICATING,AUTHENTICATING...,,,
AUTO,AUTO,,,
BACK,BACK,HEYA,HEYA,return
BACKFLIP,backflip,,,
BACKPACK SLOT,BACKPACK SLOT,,,
BADGELOCKED,You don't have this badge yet!,,,
BB_AskYourFriends,you should ask your friends for help!,CAVSHPYEIPHPEDEGSHREFINYADHFHAI,chav sahbyei pahbedeng shre finya dahf hai!,
BB_BadIdea,i think that's a bad idea...,"PHGYE,HEIMWHEIKANYAF!","pahgyw, hei mw heika nyav...",
BB_Definitely,"y-yeah,  definitely!","F,FI.NYAN!","f-fi, nyan!",
BB_DefinitelyNot,d-definitely not...,KRHNYAN,krh nyan,
BB_DontDoit,don't do it...,CAVPRAIKRH!,chav praikrh hei...,
BB_Fine,i think it's fine...,PHGYEKAMWNYAI!,pahgyw ka mw nyai...,
BB_IDunno,i dunno,PHGYEGRE!,pahgywgre,
BB_IfISayYes,"if i say yes, will you take me with you?","SHRHFPEIPYEIPANIRHSA,PEIHNPHDHFI","shrahfbei pyei pa nirh sa, peifaht pahdh fi",
BB_IfYouWanna,if you wanna...,PEIFHNSHNWG!,peifaht sahnwng...,
BB_IGuessSo,i guess so...,HEIMWFI!,hei mw fi...,
BB_ImBingBong,i'm bing bong,PHPWPIGPAG,phpw ping pang,
BB_IMissMyWife,i miss my wife,PHNWGFH,pahnwng fh,
BB_ImNotSure,i'm... not sure...,"PHRHGRE,CWMNYH",phrahgre... chwmnyh,
BB_INTENSENO,NO!!!!!!,KRH!,KRH!!!!!!,
BB_Maybe,maaaaaaaaybe,"ME,,,,,,,PI",meeeeeeeebi,
BB_MAYNEPTUNEBLESSUSALL,,CAVYHGFINYEMYHFANIVAP!,chav yhng finyemyh fanivap...,
BB_Nah,nah...,KRH!,krah...,
BB_No,no.,KRH.,krh.,
BB_NoNoNo,no no no no no,KRHKRHKRHKRHKRH,krh krh krh krh krh,
BB_NotComfortable,i'm not comfortable answering that...,PHNWNGGREPYEIFI,pahnwnggre pyeifi,
BB_NuhUh,n-nuh uh...,"F,FIKRH!",f-fikrh...,
BB_Okay,okay...,NYAI!,nyai...,
BB_PleaseDont,p...please don't...,C.CAVPRAIKRH!,ch...chav praikrh...,
BB_Sure,s...sure,"N,NYAI",n...nyai,
BB_Uh,uh...uhhhhh...,DEI!,dei...,
BB_Yeah,y...yeah...,"F,FI!",f.. fi...,
BB_Yes,yes!,FI,fi!,
BIG LUGGAGE,BIG LUGGAGE,,,
BOARDFLIGHT,board flight,,,
BOARDINGPASS,BOARDING PASS,,,
BODYNEVERFOUND,YOUR BODY WAS<br><size=125%>NEVER FOUND,,,
BODY_BONUSPAGE0,"Dear Diary, bad news!!!<br><br>	The ship captain made an oopsy, and we've wound up crashed on this mysterious island! Thankfully, mysterious islands are my specialty.<br><br>	With our whole troop working together, we'll reach the top of the PEAK and signal for help in no time!<br><br>	In the meantime, I'll take this opportunity to add some additional pages to my famous guidebook.<br><br>	<align=right>-Scoutmaster Myres",,,
BODY_BONUSRULE1,"	Mushrooms can be a valuable source of nutrition in the wilderness. But watch out!! Some of them can kill you, or even make you poop your pants.<br><br>	There's always a way to tell the poisonous ones apart, though. Here's just one example!",,,
BODY_BONUSRULE2,"	If you find a nice place to light a campfire, make sure to bring your friends close by first! The fire brings something even better than heat and cooked food... and that's motivation!",,,
BODY_BONUSRULE3,"	Wuh woh! One of our scouts stepped on a sea urchin and died!!! I was about to get really sad... but one of the other kids touched a weird statue, and brought their friend back to life!",,,
BODY_BONUSRULE3_1,Seems like this island bends the rules of mortality itself... how wacky! Perhaps something else interesting might happen if we use a statue when everyone is still alive...,,,
BODY_BONUSRULE4,"	As we approach the PEAK, the temperature has begun dropping dramatically. Seeking constant cover is a must, and getting caught out in the open when the wind is strong can be a death sentence.",,,
BODY_BONUSRULE4_1,"	If all else fails, huddling with your friends to share body heat might just save you from an icy grave.",,,
BODY_BONUSRULE5,"	I saw such a pretty sight... a beautiful moon-shaped fruit, surrounded by fireflies...<br><br>	I feel so relaxed now... maybe a nap wouldn't be so bad...",,,
BODY_BONUSRULE?,"	I had such a wonderful nap, but when I woke up the rest of the troop was gone!<br><br>	I'm sure they're just around the corner. They wouldn't be so foolish as to break <color=red>Rule 0</color> just because I needed a little lie-down!",,,
BODY_CONCLUSION,"	Exploring the wilderness is a dangerous activity that can kill you instantly - but so is everything in this world worth doing, like falling in love.<br><br>	Never forget to be a good steward towards our beautiful world, and once again, never forget:",,,
BODY_PREFACE,"<br>Ahh....................................................................................................................................................................... nature.<br><br>	What greater ecstacy in this life than crunching down on a succulent granola bar while the wind blows across your scalp atop one of this world's many miraculous mountaintops?<br><br>	But of course, nature is not just some fairground amusement, some attraction we might enjoy leisurely from behind glass! Indeed, nature is as dangerous as it is beautiful. And the view is much better from 10,000 feet up than 6 feet under! (Dead)<br><br>	In my 40 years as a Scoutmaster, I've accumulated a variety of rules for surviving dangerous wilderness situations that should help you out in the unlikely event one of your scout outings goes horribly wrong. But of course, all of these rules pale in comparison to the guiding rule of all scoutdom...",,,
BODY_RULE1,"	First things first: you've gotta get to HIGH GROUND if you wanna be spotted. Nobody ever got rescued off of a mysterious island by loitering around on the beach. So find the nearest peak, and start making your way there.",,,
BODY_RULE1_1,"	Time is of the essence in the wilderness, so get running towards your destination!",,,
BODY_RULE1_2,"	See a gap in the trail, or a prickly thorn? Go ahead and JUMP over it!",,,
BODY_RULE1_3,Keep in mind that jumping while sprinting will tire you out quickly! Take a quick rest if you need to - you won't do anyone any favors by passing out on the mountain!,,,
BODY_RULE2,"	Obviously, you're not going to make it up a mountain without climbing.<br><br>	You can climb almost any surface, so long as you have the stamina!",,,
BODY_RULE3,"	Nothing is more important than sticking together as a team!<br><br>	When your hands are empty, reach out to a friend who's mid-climb and help them reach the next ledge safely!",,,
BODY_RULE3_1,"	You can help from below, too! Crouch down and let a fellow scout stand on your head, then jump to give them a boost!",,,
BODY_RULE4,"	An effective scout keeps an eye on their <color=#0f7f00>Stamina Bar</color> at all times. If it runs out, you'll be temporarily unable to run, jump, and most importantly, climb. <br><br>	Worst case scenario, you could fall off the mountain to your death, which is the worst thing to fall off to!",,,
